mun_code,n_obs,n_positives,prevalence,auroc,auprc,f1,balanced_acc,precision,recall,status,iacv_r1_mean,iacv_r2_mean,IPM_2005,nbi_2005,women_share,discapital,altura,indrural,area_km2,performance_category,cluster
05145,11,3,0.2727272727272727,0.875,0.7555555555555555,0.5714285714285714,0.7083333333333333,0.5,0.6666666666666666,valid,1.0604411764705883,1.101764705882353,59.11128,25.0,0.4975810294117647,81.27326,2117.0,0.5306715,69.42528735632185,Alto,2.0
05147,11,1,0.09090909090909091,0.8,0.3333333333333333,0.16666666666666666,0.5,0.09090909090909091,1.0,valid,1.9879411764705883,1.9845588235294116,63.845569999999995,43.166237010585675,0.4956901470588235,204.09918,34.0,0.32510144,89.68489583333333,Bajo,0.0
05148,11,3,0.2727272727272727,0.625,0.4206349206349206,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,1.1539705882352942,1.1536764705882354,41.56723,17.956164116249223,0.506504705882353,49.756966,2150.0,0.44574758,106.50110375275938,Medio,2.0
05150,11,2,0.18181818181818182,0.6666666666666667,0.625,0.6666666666666666,0.75,1.0,0.5,valid,1.2527941176470587,1.2527941176470587,41.62779,17.418351477449455,0.5108695588235295,65.4246,1800.0,0.2377235,22.946428571428573,Alto,2.0
05154,11,3,0.2727272727272727,0.75,0.7777777777777777,0.0,0.5,0.0,0.0,valid,4.30014705882353,4.263676470588235,71.41272,52.409593250027505,0.5146185294117647,183.31477,51.0,0.2063443,66.75803402646503,Alto,0.0
05172,11,5,0.45454545454545453,0.7666666666666666,0.8253968253968254,0.625,0.5,0.45454545454545453,1.0,valid,2.7745588235294116,2.7661764705882352,66.10235,40.15411801070478,0.512595294117647,189.13493,31.0,0.15749635,71.74959349593496,Alto,0.0
05190,11,4,0.36363636363636365,0.7857142857142857,0.6083333333333333,0.5,0.6071428571428572,0.5,0.5,valid,3.1466176470588234,3.1479411764705882,51.1227,23.752542770805896,0.5191373529411765,70.43187,1044.0,0.19396819,202.51063829787233,Alto,2.0
05197,11,2,0.18181818181818182,0.7777777777777779,0.45,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.2960294117647058,1.3247058823529412,72.18087,36.2308664513411,0.5074129411764706,61.403378,1300.0,0.7358952,86.39819004524887,Medio,1.0
05206,11,4,0.36363636363636365,1.0,1.0,0.4,0.625,1.0,0.25,valid,1.286029411764706,1.256764705882353,59.64912,25.94644506001847,0.49126014705882354,49.681023,1900.0,0.6726547,32.23668639053255,Alto,2.0
05209,11,3,0.2727272727272727,0.7916666666666666,0.6666666666666667,0.5714285714285714,0.7083333333333333,0.5,0.6666666666666666,valid,2.2545588235294116,2.278235294117647,73.01619000000001,39.219824663116256,0.4958942647058824,37.55239,1950.0,0.61951447,92.08119658119658,Alto,1.0
05212,11,3,0.2727272727272727,0.41666666666666663,0.3528138528138528,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,1.700294117647059,1.7176470588235293,28.961969999999997,9.752891229176813,0.5169542647058823,18.335855,1400.0,0.13725299,892.6478873239437,Bajo,2.0
05234,11,3,0.2727272727272727,0.5833333333333334,0.5909090909090908,0.4444444444444444,0.5833333333333333,0.3333333333333333,0.6666666666666666,valid,1.9977941176470588,2.075735294117647,81.14329000000001,66.48931522775008,0.4962182352941177,112.31251,412.0,0.6427504,11.690813648293965,Medio,0.0
05237,11,4,0.36363636363636365,0.5,0.44375,0.36363636363636365,0.39285714285714285,0.2857142857142857,0.5,valid,2.0310294117647056,2.010588235294118,53.50165,18.720800476450144,0.5299245588235294,41.3086,2200.0,0.35613808,87.77049180327869,Medio,2.0
05240,11,2,0.18181818181818182,1.0,1.0,0.4444444444444444,0.7222222222222222,0.2857142857142857,1.0,valid,1.7373529411764705,1.7555882352941177,65.86221,42.51936404402772,0.49362397058823526,14.745426,1250.0,0.8299097,57.34453781512605,Alto,1.0
05250,11,3,0.2727272727272727,0.7083333333333333,0.6095238095238096,0.0,0.5,0.0,0.0,valid,3.0791176470588235,2.9557352941176473,77.41286,50.75461318551599,0.4976798529411765,179.38217,50.0,0.44817472,20.12916453100974,Alto,0.0
05264,11,2,0.18181818181818182,1.0,1.0,0.3076923076923077,0.5,0.18181818181818182,1.0,valid,1.3026470588235295,1.3414705882352942,46.97045,15.264127714851655,0.4944514705882353,35.809742,2292.0,0.53320706,40.46396396396396,Alto,2.0
05266,11,4,0.36363636363636365,0.9642857142857143,0.95,0.5333333333333333,0.5,0.36363636363636365,1.0,valid,0.6627941176470589,0.6577941176470589,14.27179,5.4303186490817845,0.5401267647058824,15.925769,1566.0,0.049888026,3421.5882352941176,Alto,2.0
05282,11,2,0.18181818181818182,0.7777777777777779,0.45,0.5714285714285714,0.8333333333333333,0.4,1.0,valid,1.9455882352941178,1.9479411764705883,56.779329999999995,24.518229963100797,0.49870352941176466,44.235523,1820.0,0.6206593,97.216,Medio,2.0
05284,11,2,0.18181818181818182,0.6111111111111112,0.6111111111111112,0.2857142857142857,0.5277777777777778,0.2,0.5,valid,1.4986764705882352,1.4638235294117647,65.81554,44.36635514893826,0.49652455882352936,86.91658,1500.0,0.61983925,17.879499217527385,Alto,1.0
05306,11,4,0.36363636363636365,0.8928571428571428,0.8541666666666666,0.75,0.8035714285714286,0.75,0.75,valid,2.380294117647059,2.298088235294118,63.735200000000006,47.37859386325199,0.49004985294117653,52.125435,1950.0,0.7132283,50.43298969072165,Alto,2.0
05308,11,3,0.2727272727272727,0.75,0.5317460317460317,0.42857142857142855,0.5,0.2727272727272727,1.0,valid,1.4566176470588235,1.4622058823529411,36.62749,15.433221307370587,0.5116866176470589,23.122578,1400.0,0.41250792,521.1392405063291,Medio,2.0
05310,11,3,0.2727272727272727,0.625,0.4206349206349206,0.6,0.75,0.42857142857142855,1.0,valid,1.4147058823529413,1.3755882352941178,69.05304,39.44886009838278,0.4982127941176471,68.82403,1750.0,0.5492357,26.48901098901099,Medio,1.0
